filename,extracted_date,validation_status
AAPL_10-K_2010.txt,API Error,待验证
AAPL_10-K_2011.txt,API Error,待验证
AAPL_10-K_2012.txt,API Error,待验证
AAPL_10-K_2013.txt,API Error,待验证
AAPL_10-K_2014.txt,API Error,待验证
AAPL_10-K_2015.txt,API Error,待验证
AAPL_10-K_2016.txt,API Error,待验证
AAPL_10-K_2017.txt,API Error,待验证
AAPL_10-K_2018.txt,API Error,待验证
AAPL_10-K_2019.txt,API Error,待验证
AAPL_10-K_2020.txt,API Error,待验证
AAPL_10-K_2021.txt,API Error,待验证
AAPL_10-K_2022.txt,API Error,待验证
AAPL_10-K_2023.txt,API Error,待验证
AAPL_10-K_2024.txt,API Error,待验证
GOOGL_10-K_2011.txt,API Error,待验证
GOOGL_10-K_2013.txt,API Error,待验证
GOOGL_10-K_2014.txt,API Error,待验证
GOOGL_10-K_2015.txt,API Error,待验证
GOOGL_10-K_2016.txt,API Error,待验证
GOOGL_10-K_2017.txt,API Error,待验证
GOOGL_10-K_2018.txt,API Error,待验证
GOOGL_10-K_2019.txt,API Error,待验证
GOOGL_10-K_2020.txt,API Error,待验证
GOOGL_10-K_2021.txt,API Error,待验证
GOOGL_10-K_2022.txt,API Error,待验证
GOOGL_10-K_2023.txt,API Error,待验证
GOOGL_10-K_2024.txt,API Error,待验证
MSFT_10-K_20130730.txt,API Error,待验证
MSFT_10-K_20140731.txt,API Error,待验证
MSFT_10-K_20150731.txt,API Error,待验证
MSFT_10-K_20160728.txt,API Error,待验证
MSFT_10-K_20170802.txt,API Error,待验证
MSFT_10-K_20190801.txt,API Error,待验证
MSFT_10-K_20190803.txt,API Error,待验证
MSFT_10-K_20200730.txt,API Error,待验证
MSFT_10-K_20210729.txt,API Error,待验证
MSFT_10-K_20220728.txt,API Error,待验证
MSFT_10-K_20230727.txt,API Error,待验证
MSFT_10-K_20240730.txt,API Error,待验证
NVDA_10-K_2013.txt,API Error,待验证
NVDA_10-K_2014.txt,API Error,待验证
NVDA_10-K_2015.txt,API Error,待验证
NVDA_10-K_2016.txt,API Error,待验证
NVDA_10-K_2017.txt,API Error,待验证
NVDA_10-K_2018.txt,API Error,待验证
NVDA_10-K_2019.txt,API Error,待验证
NVDA_10-K_2020.txt,API Error,待验证
NVDA_10-K_2021.txt,API Error,待验证
NVDA_10-K_2022.txt,API Error,待验证
NVDA_10-K_2023.txt,API Error,待验证
NVDA_10-K_2024.txt,API Error,待验证
NVDA_10-K_2025.txt,API Error,待验证
TSLA_10-K_2012.txt,API Error,待验证
TSLA_10-K_2013.txt,API Error,待验证
TSLA_10-K_2014.txt,API Error,待验证
TSLA_10-K_2015.txt,API Error,待验证
TSLA_10-K_2016.txt,API Error,待验证
TSLA_10-K_2017.txt,API Error,待验证
TSLA_10-K_2018.txt,API Error,待验证
TSLA_10-K_2019.txt,API Error,待验证
TSLA_10-K_2020.txt,API Error,待验证
TSLA_10-K_2021.txt,API Error,待验证
TSLA_10-K_2022.txt,API Error,待验证
TSLA_10-K_2023.txt,API Error,待验证
TSLA_10-K_2024.txt,API Error,待验证
